game_id,round_id,team1_score,team2_score,team1_round_score,team2_round_score,seat_position,is_dealer,partner_is_dealer,trump_suit,trump_maker,suit_lead,card_to_evaluate,win_probability,card_to_play_encoded,is_trump_card,hand_card_0,hand_card_1,hand_card_2,hand_card_3,hand_card_4,known_card_0,known_card_1,known_card_2,known_card_3,known_card_4,known_card_5,known_card_6,known_card_7,known_card_8,known_card_9,known_card_10,known_card_11,known_card_12,known_card_13,known_card_14,known_card_15,known_card_16,known_card_17
0,1,0,3,0,0,1,0,0,0,0,3,12,0.24,0,0,7,12,9,11,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,0,3,0,0,1,0,0,0,0,3,9,0.64,1,0,7,12,9,11,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,0,3,0,0,1,0,0,0,0,3,11,0.44,0,0,7,12,9,11,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,0,3,0,0,1,0,0,0,0,3,14,0.32,0,1,7,12,9,11,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,1,0,1,0,0,0,0,1,7,0.44,0,0,7,12,11,14,-1,109,77,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,1,0,1,0,0,0,0,1,12,0.2,0,0,7,12,11,14,-1,109,77,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,1,0,1,0,0,0,0,1,11,0.2,1,0,7,12,11,14,-1,109,77,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,1,0,1,0,0,0,0,1,14,0.2,0,1,7,12,11,14,-1,109,77,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,0,0,1,1,2,0,0,0,0,3,7,0.08,0,0,7,12,14,-1,-1,109,77,41,99,79,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,0,0,1,1,2,0,0,0,0,3,12,0.08,0,0,7,12,14,-1,-1,109,77,41,99,79,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,0,0,1,1,2,0,0,0,0,3,14,0.0,1,1,7,12,14,-1,-1,109,77,41,99,79,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,4,0,0,2,1,0,0,0,0,0,4,7,0.0,0,0,7,12,-1,-1,-1,109,77,41,99,79,26,37,111,82,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,4,0,0,2,1,0,0,0,0,0,4,12,0.0,1,0,7,12,-1,-1,-1,109,77,41,99,79,26,37,111,82,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,5,0,0,2,2,2,0,0,0,0,0,7,0.0,1,0,7,-1,-1,-1,-1,109,77,41,99,79,26,37,111,82,80,42,120,-1,-1,-1,-1,-1,-1
0,1,0,4,0,0,1,0,1,3,2,2,15,0.68,0,0,15,13,94,14,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,0,4,0,0,1,0,1,3,2,2,13,0.48,0,1,15,13,94,14,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,0,4,0,0,1,0,1,3,2,2,94,0.56,0,0,15,13,94,14,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,0,4,0,0,1,0,1,3,2,2,14,0.6,0,1,15,13,94,14,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,0,4,0,0,1,0,1,3,2,2,12,0.76,1,0,15,13,94,14,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,1,0,0,0,1,3,2,4,15,0.24,0,0,15,13,94,14,-1,52,80,24,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,1,0,0,0,1,3,2,4,13,0.36,0,1,15,13,94,14,-1,52,80,24,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,1,0,0,0,1,3,2,4,94,0.52,0,0,15,13,94,14,-1,52,80,24,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
