game_id,round_id,team1_score,team2_score,team1_round_score,team2_round_score,seat_position,is_dealer,partner_is_dealer,trump_suit,hand,known_cards,card_to_evaluate,card_to_play,win_probability
43,1,2,3,0,0,2,False,False,spades,"['Q of spades', '10 of diamonds', 'A of clubs', '10 of clubs', '9 of clubs']",['A of spades'],10 of diamonds,0,0.0
43,1,2,3,0,0,2,False,False,spades,"['Q of spades', '10 of diamonds', 'A of clubs', '10 of clubs', '9 of clubs']",['A of spades'],A of clubs,0,0.0
43,1,2,3,0,0,2,False,False,spades,"['Q of spades', '10 of diamonds', 'A of clubs', '10 of clubs', '9 of clubs']",['A of spades'],10 of clubs,0,0.0
43,1,2,3,0,0,2,False,False,spades,"['Q of spades', '10 of diamonds', 'A of clubs', '10 of clubs', '9 of clubs']",['A of spades'],9 of clubs,1,0.0
43,2,0,0,0,1,3,False,False,spades,"['Q of spades', '10 of diamonds', 'A of clubs', '10 of clubs']","['A of spades', 'A of hearts', 'K of hearts', '9 of clubs', '9 of spades']",Q of spades,1,0.0
43,2,0,0,0,1,3,False,False,spades,"['Q of spades', '10 of diamonds', 'A of clubs', '10 of clubs']","['A of spades', 'A of hearts', 'K of hearts', '9 of clubs', '9 of spades']",10 of diamonds,0,0.0
43,2,0,0,0,1,3,False,False,spades,"['Q of spades', '10 of diamonds', 'A of clubs', '10 of clubs']","['A of spades', 'A of hearts', 'K of hearts', '9 of clubs', '9 of spades']",A of clubs,0,0.0
43,2,0,0,0,1,3,False,False,spades,"['Q of spades', '10 of diamonds', 'A of clubs', '10 of clubs']","['A of spades', 'A of hearts', 'K of hearts', '9 of clubs', '9 of spades']",10 of clubs,0,0.0
43,3,0,0,0,2,1,False,False,spades,"['10 of diamonds', 'A of clubs', '10 of clubs']","['A of spades', 'A of hearts', 'K of hearts', '9 of clubs', '9 of spades', 'A of spades', 'J of hearts', 'J of clubs', 'Q of spades']",10 of diamonds,1,0.0
43,3,0,0,0,2,1,False,False,spades,"['10 of diamonds', 'A of clubs', '10 of clubs']","['A of spades', 'A of hearts', 'K of hearts', '9 of clubs', '9 of spades', 'A of spades', 'J of hearts', 'J of clubs', 'Q of spades']",A of clubs,0,0.0
43,3,0,0,0,2,1,False,False,spades,"['10 of diamonds', 'A of clubs', '10 of clubs']","['A of spades', 'A of hearts', 'K of hearts', '9 of clubs', '9 of spades', 'A of spades', 'J of hearts', 'J of clubs', 'Q of spades']",10 of clubs,0,0.0
43,4,0,1,0,3,1,False,False,spades,"['A of clubs', '10 of clubs']","['A of spades', 'A of hearts', 'K of hearts', '9 of clubs', '9 of spades', 'A of spades', 'J of hearts', 'J of clubs', 'Q of spades', 'Q of hearts', '10 of diamonds', '9 of diamonds', 'Q of clubs']",A of clubs,0,0.0
43,4,0,1,0,3,1,False,False,spades,"['A of clubs', '10 of clubs']","['A of spades', 'A of hearts', 'K of hearts', '9 of clubs', '9 of spades', 'A of spades', 'J of hearts', 'J of clubs', 'Q of spades', 'Q of hearts', '10 of diamonds', '9 of diamonds', 'Q of clubs']",10 of clubs,1,0.0
43,5,0,1,0,4,1,False,False,spades,['A of clubs'],"['A of spades', 'A of hearts', 'K of hearts', '9 of clubs', '9 of spades', 'A of spades', 'J of hearts', 'J of clubs', 'Q of spades', 'Q of hearts', '10 of diamonds', '9 of diamonds', 'Q of clubs', '10 of hearts', '10 of clubs', 'A of diamonds', 'Q of diamonds']",A of clubs,1,0.0
43,1,2,5,0,0,1,False,True,hearts,"['J of clubs', '10 of hearts', '9 of diamonds', '9 of hearts', 'A of diamonds']",['Q of clubs'],J of clubs,0,1.0
43,1,2,5,0,0,1,False,True,hearts,"['J of clubs', '10 of hearts', '9 of diamonds', '9 of hearts', 'A of diamonds']",['Q of clubs'],10 of hearts,0,1.0
43,1,2,5,0,0,1,False,True,hearts,"['J of clubs', '10 of hearts', '9 of diamonds', '9 of hearts', 'A of diamonds']",['Q of clubs'],9 of diamonds,0,1.0
43,1,2,5,0,0,1,False,True,hearts,"['J of clubs', '10 of hearts', '9 of diamonds', '9 of hearts', 'A of diamonds']",['Q of clubs'],9 of hearts,1,1.0
43,1,2,5,0,0,1,False,True,hearts,"['J of clubs', '10 of hearts', '9 of diamonds', '9 of hearts', 'A of diamonds']",['Q of clubs'],A of diamonds,0,1.0
